"pâ‰ˆ2/3", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 2.52882251405975234e+13, 1155608902850, 2.52882251405975156e+13, 2.78266836784423255e+00,    9230428492, 2.52882251405975195e+13, 1.39133418392211627e+00,    5694329902, 2.52882251405975156e+13, 2.78266836784423255e+00,    2801599839, 2.52882251405975195e+13, 1.39133418392211627e+00,    1281077134
 2, 2.52884576363063867e+13, 1180158447630, 2.52884576363063828e+13, 1.39132139234613295e+00,    9231155102, 2.52884576363063945e+13, 2.78264278469226589e+00,    5695167638, 2.52884576363063867e+13, 0.00000000000000000e+00,    2798767705, 2.52884576363063906e+13, 1.39132139234613295e+00,    1276875575
 3, 2.52883628581136055e+13, 1173098432552, 2.52883628581136055e+13, 0.00000000000000000e+00,    9230275378, 2.52883628581136016e+13, 1.39132660687614762e+00,    5694109563, 2.52883628581135977e+13, 2.78265321375229524e+00,    2800974003, 2.52883628581136016e+13, 1.39132660687614762e+00,    1280199015
 4, 2.52874647915491211e+13, 1182631868794, 2.52874647915491211e+13, 0.00000000000000000e+00,    9228550853, 2.52874647915491133e+13, 2.78275203772822266e+00,    5695428572, 2.52874647915491211e+13, 0.00000000000000000e+00,    2801338756, 2.52874647915491289e+13, 2.78275203772822266e+00,    1279748955
 5, 2.52883161493016094e+13, 1174596862595, 2.52883161493016133e+13, 1.39132917672747825e+00,    9230203643, 2.52883161493016016e+13, 2.78265835345495649e+00,    5695691559, 2.52883161493016094e+13, 0.00000000000000000e+00,    2801911901, 2.52883161493016133e+13, 1.39132917672747825e+00,    1280390016
 6, 2.52889984781356328e+13, 1176072292510, 2.52889984781356289e+13, 1.39129163692471702e+00,    9231504409, 2.52889984781356289e+13, 1.39129163692471702e+00,    5694292326, 2.52889984781356250e+13, 2.78258327384943405e+00,    2800919998, 2.52889984781356289e+13, 1.39129163692471702e+00,    1280180673
 7, 2.52885722318007695e+13, 1175447522932, 2.52885722318007617e+13, 2.78263017511025090e+00,    9230820047, 2.52885722318007656e+13, 1.39131508755512545e+00,    5696720487, 2.52885722318007656e+13, 1.39131508755512545e+00,    2801713402, 2.52885722318007617e+13, 2.78263017511025090e+00,    1279639321
 8, 2.52883671603669492e+13, 1174258403644, 2.52883671603669414e+13, 2.78265274034572752e+00,    9233079969, 2.52883671603669453e+13, 1.39132637017286376e+00,    5695401639, 2.52883671603669453e+13, 1.39132637017286376e+00,    2799612638, 2.52883671603669453e+13, 1.39132637017286376e+00,    1277681056
 9, 2.52884018917964961e+13, 1182667604753, 2.52884018917964922e+13, 1.39132445930660942e+00,    9229019808, 2.52884018917964922e+13, 1.39132445930660942e+00,    5693943770, 2.52884018917964922e+13, 1.39132445930660942e+00,    2802918877, 2.52884018917964922e+13, 1.39132445930660942e+00,    1279973093
10, 2.52877554591546406e+13, 1176286352169, 2.52877554591546367e+13, 1.39136002582999518e+00,    9233022677, 2.52877554591546367e+13, 1.39136002582999518e+00,    5698398654, 2.52877554591546367e+13, 1.39136002582999518e+00,    2800448729, 2.52877554591546406e+13, 0.00000000000000000e+00,    1276890279
11, 2.52877210132603516e+13, 1189861172095, 2.52877210132603477e+13, 1.39136192108344003e+00,    9230939243, 2.52877210132603477e+13, 1.39136192108344003e+00,    5703826978, 2.52877210132603438e+13, 2.78272384216688007e+00,    2824618441, 2.52877210132603477e+13, 1.39136192108344003e+00,    1280717332
12, 2.52879407274189609e+13, 1173819061963, 2.52879407274189570e+13, 1.39134983224168329e+00,    9230308415, 2.52879407274189688e+13, 2.78269966448336659e+00,    5694461697, 2.52879407274189609e+13, 0.00000000000000000e+00,    2802340581, 2.52879407274189531e+13, 2.78269966448336659e+00,    1280991236
13, 2.52882584546897344e+13, 1183450823626, 2.52882584546897266e+13, 2.78266470202949234e+00,    9230829299, 2.52882584546897344e+13, 0.00000000000000000e+00,    5695571792, 2.52882584546897344e+13, 0.00000000000000000e+00,    2830846673, 2.52882584546897266e+13, 2.78266470202949234e+00,    1279197200
14, 2.52883437092143203e+13, 1183434803888, 2.52883437092143203e+13, 0.00000000000000000e+00,    9229933869, 2.52883437092143125e+13, 2.78265532083952660e+00,    5694983292, 2.52883437092143203e+13, 0.00000000000000000e+00,    2801202241, 2.52883437092143203e+13, 0.00000000000000000e+00,    1279188951
15, 2.52887596528294453e+13, 1175404635306, 2.52887596528294375e+13, 2.78260955237441854e+00,    9231064492, 2.52887596528294492e+13, 1.39130477618720927e+00,    5695028187, 2.52887596528294453e+13, 0.00000000000000000e+00,    2801533056, 2.52887596528294375e+13, 2.78260955237441854e+00,    1280018268
16, 2.52884711056592656e+13, 1172879426582, 2.52884711056592656e+13, 0.00000000000000000e+00,    9229428241, 2.52884711056592656e+13, 0.00000000000000000e+00,    5695838719, 2.52884711056592578e+13, 2.78264130257824460e+00,    2801369246, 2.52884711056592656e+13, 0.00000000000000000e+00,    1279336121
17, 2.52884438468150430e+13, 1185031285097, 2.52884438468150391e+13, 1.39132215101734302e+00,    9229622710, 2.52884438468150391e+13, 1.39132215101734302e+00,    5694797904, 2.52884438468150352e+13, 2.78264430203468605e+00,    2801976089, 2.52884438468150430e+13, 0.00000000000000000e+00,    1279899613
18, 2.52879691422224531e+13, 1183524861232, 2.52879691422224492e+13, 1.39134826885271168e+00,    9229936976, 2.52879691422224492e+13, 1.39134826885271168e+00,    5695237951, 2.52879691422224570e+13, 1.39134826885271168e+00,    2803207104, 2.52879691422224492e+13, 1.39134826885271168e+00,    1281261420
19, 2.52885934042312188e+13, 1185342116838, 2.52885934042312148e+13, 1.39131392270101695e+00,    9230621648, 2.52885934042312070e+13, 4.17394176810305062e+00,    5695843069, 2.52885934042312109e+13, 2.78262784540203389e+00,    2801315372, 2.52885934042312109e+13, 2.78262784540203389e+00,    1279417348
20, 2.52887191343110625e+13, 1173586397361, 2.52887191343110547e+13, 2.78261401077405912e+00,    9229832174, 2.52887191343110625e+13, 0.00000000000000000e+00,    5696455464, 2.52887191343110547e+13, 2.78261401077405912e+00,    2802242745, 2.52887191343110625e+13, 0.00000000000000000e+00,    1280174068
21, 2.52888994805228320e+13, 1164805342842, 2.52888994805228320e+13, 0.00000000000000000e+00,    9230785427, 2.52888994805228320e+13, 0.00000000000000000e+00,    5697326588, 2.52888994805228281e+13, 1.39129708336776492e+00,    2799579220, 2.52888994805228281e+13, 1.39129708336776492e+00,    1277581446
22, 2.52869096865461094e+13, 1154482557110, 2.52869096865461016e+13, 2.78281312544504633e+00,    9228975876, 2.52869096865461055e+13, 1.39140656272252317e+00,    5693587026, 2.52869096865461094e+13, 0.00000000000000000e+00,    2800566702, 2.52869096865461133e+13, 1.39140656272252317e+00,    1279125634
23, 2.52886962904656445e+13, 1190022341666, 2.52886962904656445e+13, 0.00000000000000000e+00,    9229304465, 2.52886962904656445e+13, 0.00000000000000000e+00,    5695654424, 2.52886962904656406e+13, 1.39130826218579040e+00,    2803086154, 2.52886962904656406e+13, 1.39130826218579040e+00,    1278723816
24, 2.52888185459792344e+13, 1160165672838, 2.52888185459792344e+13, 0.00000000000000000e+00,    9229962396, 2.52888185459792305e+13, 1.39130153608643359e+00,    5695730468, 2.52888185459792344e+13, 0.00000000000000000e+00,    2801684836, 2.52888185459792305e+13, 1.39130153608643359e+00,    1278417469
25, 2.52883863600095234e+13, 1185273450122, 2.52883863600095195e+13, 1.39132531383938995e+00,    9231008663, 2.52883863600095273e+13, 1.39132531383938995e+00,    5695257476, 2.52883863600095195e+13, 1.39132531383938995e+00,    2800054999, 2.52883863600095312e+13, 2.78265062767877991e+00,    1277121263
26, 2.52881277813026797e+13, 1183808930991, 2.52881277813026719e+13, 2.78267908111776618e+00,    9230265346, 2.52881277813026680e+13, 4.17401862167664994e+00,    5696684554, 2.52881277813026641e+13, 5.56535816223553237e+00,    2802142764, 2.52881277813026680e+13, 4.17401862167664994e+00,    1280527404
27, 2.52880595319592617e+13, 1162878795004, 2.52880595319592539e+13, 2.78268659122426509e+00,    9230854537, 2.52880595319592539e+13, 2.78268659122426509e+00,    5694841294, 2.52880595319592539e+13, 2.78268659122426509e+00,    2800300286, 2.52880595319592578e+13, 1.39134329561213255e+00,    1277386776
28, 2.52898578498705391e+13, 1177775357363, 2.52898578498705273e+13, 4.17373307881350275e+00,    9230165815, 2.52898578498705352e+13, 1.39124435960450099e+00,    5696835262, 2.52898578498705273e+13, 4.17373307881350275e+00,    2802094583, 2.52898578498705352e+13, 1.39124435960450099e+00,    1280050482
29, 2.52892436227265469e+13, 1155036297434, 2.52892436227265430e+13, 1.39127815025725221e+00,    9230030463, 2.52892436227265469e+13, 0.00000000000000000e+00,    5696575462, 2.52892436227265391e+13, 2.78255630051450442e+00,    2801754567, 2.52892436227265430e+13, 1.39127815025725221e+00,    1280082686
30, 2.52881377848046758e+13, 1156343048014, 2.52881377848046758e+13, 0.00000000000000000e+00,    9229282765, 2.52881377848046719e+13, 1.39133899017166240e+00,    5695014896, 2.52881377848046719e+13, 1.39133899017166240e+00,    2800688453, 2.52881377848046758e+13, 0.00000000000000000e+00,    1279144719
31, 2.52877639133651328e+13, 1186851861206, 2.52877639133651289e+13, 1.39135956067022182e+00,    9228116780, 2.52877639133651289e+13, 1.39135956067022182e+00,    5695632151, 2.52877639133651328e+13, 0.00000000000000000e+00,    2802056003, 2.52877639133651328e+13, 0.00000000000000000e+00,    1279747361
