"pŹ", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 3.82254851223431046e+02, 589665274726, 3.82254851223430990e+02, 1.33942054197954930e+00,   4196880405, 3.82254851223430990e+02, 1.33942054197954930e+00,   2852875828, 3.82254851223431046e+02, 0.00000000000000000e+00,   1404504620, 3.82254851223431046e+02, 0.00000000000000000e+00,    640993038
 2, 3.82255054452369507e+02, 580360371608, 3.82255054452369507e+02, 0.00000000000000000e+00,   4195360362, 3.82255054452369507e+02, 0.00000000000000000e+00,   2851402894, 3.82255054452369507e+02, 0.00000000000000000e+00,   1403535751, 3.82255054452369507e+02, 0.00000000000000000e+00,    640475872
 3, 3.82258277430782186e+02, 589313138961, 3.82258277430782243e+02, 1.33940853666068982e+00,   4196252494, 3.82258277430782243e+02, 1.33940853666068982e+00,   2851364255, 3.82258277430782186e+02, 0.00000000000000000e+00,   1403817192, 3.82258277430782243e+02, 1.33940853666068982e+00,    640539439
 4, 3.82257200917842908e+02, 590292920751, 3.82257200917842965e+02, 1.33941230870374683e+00,   4196148995, 3.82257200917842965e+02, 1.33941230870374683e+00,   2851937250, 3.82257200917842908e+02, 0.00000000000000000e+00,   1403335248, 3.82257200917843022e+02, 2.67882461740749367e+00,    640879926
 5, 3.82258668530603359e+02, 591109762630, 3.82258668530603359e+02, 0.00000000000000000e+00,   4196688442, 3.82258668530603302e+02, 1.33940716627335199e+00,   2852773391, 3.82258668530603359e+02, 0.00000000000000000e+00,   1403430889, 3.82258668530603302e+02, 1.33940716627335199e+00,    640744944
 6, 3.82253679375054105e+02, 593666434981, 3.82253679375054105e+02, 0.00000000000000000e+00,   4196835972, 3.82253679375054105e+02, 0.00000000000000000e+00,   2852543761, 3.82253679375054105e+02, 0.00000000000000000e+00,   1403500661, 3.82253679375054048e+02, 1.33942464814744988e+00,    640496610
 7, 3.82252601461030338e+02, 577308286707, 3.82252601461030281e+02, 1.33942842519071004e+00,   4196122563, 3.82252601461030395e+02, 1.33942842519071004e+00,   2851072782, 3.82252601461030338e+02, 0.00000000000000000e+00,   1402917593, 3.82252601461030338e+02, 0.00000000000000000e+00,    640475632
 8, 3.82264786762373149e+02, 591631638632, 3.82264786762373149e+02, 0.00000000000000000e+00,   4195764426, 3.82264786762373149e+02, 0.00000000000000000e+00,   2851240098, 3.82264786762373149e+02, 0.00000000000000000e+00,   1403679674, 3.82264786762373092e+02, 1.33938572876782924e+00,    640595840
 9, 3.82257599549180497e+02, 595115534842, 3.82257599549180611e+02, 2.67882182383728962e+00,   4196146428, 3.82257599549180554e+02, 1.33941091191864481e+00,   2850637636, 3.82257599549180668e+02, 4.01823273575593465e+00,   1403839022, 3.82257599549180497e+02, 0.00000000000000000e+00,    641031687
10, 3.82258462667805645e+02, 587068647207, 3.82258462667805588e+02, 1.33940788760233076e+00,   4196128397, 3.82258462667805702e+02, 1.33940788760233076e+00,   2851100496, 3.82258462667805702e+02, 1.33940788760233076e+00,   1403700082, 3.82258462667805759e+02, 2.67881577520466152e+00,    640907189
11, 3.82247764666594151e+02, 593580468309, 3.82247764666594094e+02, 1.33944537372659056e+00,   4195832794, 3.82247764666594207e+02, 1.33944537372659056e+00,   2851224964, 3.82247764666594151e+02, 0.00000000000000000e+00,   1403151503, 3.82247764666594094e+02, 1.33944537372659056e+00,    640603127
12, 3.82264143502512525e+02, 593239576977, 3.82264143502512525e+02, 0.00000000000000000e+00,   4196968799, 3.82264143502512525e+02, 0.00000000000000000e+00,   2851552600, 3.82264143502512582e+02, 1.33938798263623893e+00,   1403951703, 3.82264143502512525e+02, 0.00000000000000000e+00,    641040538
13, 3.82250995779964853e+02, 588152228959, 3.82250995779964853e+02, 0.00000000000000000e+00,   4196101284, 3.82250995779964910e+02, 1.33943405158510709e+00,   2850329554, 3.82250995779964853e+02, 0.00000000000000000e+00,   1403523754, 3.82250995779964910e+02, 1.33943405158510709e+00,    640532242
14, 3.82259036597181989e+02, 590445534201, 3.82259036597181989e+02, 0.00000000000000000e+00,   4195134400, 3.82259036597181932e+02, 1.33940587659550037e+00,   2850806315, 3.82259036597181989e+02, 0.00000000000000000e+00,   1403493875, 3.82259036597181989e+02, 0.00000000000000000e+00,    640836546
15, 3.82252295201100253e+02, 595179569403, 3.82252295201100253e+02, 0.00000000000000000e+00,   4196581434, 3.82252295201100253e+02, 0.00000000000000000e+00,   2851226577, 3.82252295201100253e+02, 0.00000000000000000e+00,   1402446083, 3.82252295201100253e+02, 0.00000000000000000e+00,    640383609
16, 3.82250321789914722e+02, 588097530642, 3.82250321789914722e+02, 0.00000000000000000e+00,   4195673506, 3.82250321789914722e+02, 0.00000000000000000e+00,   2851144617, 3.82250321789914778e+02, 1.33943641329724206e+00,   1403559346, 3.82250321789914778e+02, 1.33943641329724206e+00,    640782941
17, 3.82247822064725881e+02, 586762518785, 3.82247822064725881e+02, 0.00000000000000000e+00,   4195947650, 3.82247822064725881e+02, 0.00000000000000000e+00,   2851429957, 3.82247822064725881e+02, 0.00000000000000000e+00,   1403191396, 3.82247822064725824e+02, 1.33944517259617824e+00,    640769220
18, 3.82257126331554502e+02, 588275029546, 3.82257126331554559e+02, 1.33941257005085035e+00,   4196731060, 3.82257126331554502e+02, 0.00000000000000000e+00,   2850823145, 3.82257126331554616e+02, 2.67882514010170070e+00,   1403449202, 3.82257126331554559e+02, 1.33941257005085035e+00,    641065475
19, 3.82259368864269788e+02, 587157656069, 3.82259368864269788e+02, 0.00000000000000000e+00,   4195587066, 3.82259368864269788e+02, 0.00000000000000000e+00,   2851632384, 3.82259368864269845e+02, 1.33940471235852865e+00,   1403279139, 3.82259368864269788e+02, 0.00000000000000000e+00,    640886301
20, 3.82262874633434762e+02, 595263624899, 3.82262874633434819e+02, 1.33939242855057450e+00,   4195746354, 3.82262874633434762e+02, 0.00000000000000000e+00,   2851346023, 3.82262874633434762e+02, 0.00000000000000000e+00,   1402784115, 3.82262874633434819e+02, 1.33939242855057450e+00,    641021534
21, 3.82245868451054207e+02, 586716794807, 3.82245868451054207e+02, 0.00000000000000000e+00,   4195479898, 3.82245868451054207e+02, 0.00000000000000000e+00,   2852283159, 3.82245868451054207e+02, 0.00000000000000000e+00,   1403287749, 3.82245868451054207e+02, 0.00000000000000000e+00,    640389653
22, 3.82259674079251511e+02, 593933932675, 3.82259674079251511e+02, 0.00000000000000000e+00,   4195934089, 3.82259674079251511e+02, 0.00000000000000000e+00,   2850586067, 3.82259674079251454e+02, 1.33940364291172975e+00,   1403660170, 3.82259674079251454e+02, 1.33940364291172975e+00,    640558422
23, 3.82253764322733787e+02, 591135941675, 3.82253764322733787e+02, 0.00000000000000000e+00,   4196681204, 3.82253764322733787e+02, 0.00000000000000000e+00,   2851221786, 3.82253764322733787e+02, 0.00000000000000000e+00,   1402487679, 3.82253764322733900e+02, 2.67884870097824601e+00,    641002690
24, 3.82258233768532762e+02, 579524087552, 3.82258233768532762e+02, 0.00000000000000000e+00,   4195863635, 3.82258233768532762e+02, 0.00000000000000000e+00,   2850406853, 3.82258233768532705e+02, 1.33940868965043469e+00,   1403718935, 3.82258233768532818e+02, 1.33940868965043469e+00,    640797265
25, 3.82254498620173308e+02, 591802608880, 3.82254498620173251e+02, 1.33942177750208291e+00,   4196522619, 3.82254498620173308e+02, 0.00000000000000000e+00,   2852176923, 3.82254498620173251e+02, 1.33942177750208291e+00,   1403271652, 3.82254498620173251e+02, 1.33942177750208291e+00,    641541955
26, 3.82250321731113445e+02, 587698023200, 3.82250321731113502e+02, 1.33943641350328657e+00,   4195429582, 3.82250321731113502e+02, 1.33943641350328657e+00,   2850940365, 3.82250321731113445e+02, 0.00000000000000000e+00,   1403397853, 3.82250321731113502e+02, 1.33943641350328657e+00,    641137301
27, 3.82258517999937737e+02, 589914050548, 3.82258517999937681e+02, 1.33940769372229762e+00,   4195611313, 3.82258517999937737e+02, 0.00000000000000000e+00,   2851385083, 3.82258517999937681e+02, 1.33940769372229762e+00,   1403514532, 3.82258517999937737e+02, 0.00000000000000000e+00,    640706104
28, 3.82257417204014644e+02, 590260260450, 3.82257417204014644e+02, 0.00000000000000000e+00,   4195498101, 3.82257417204014644e+02, 0.00000000000000000e+00,   2850783814, 3.82257417204014644e+02, 0.00000000000000000e+00,   1403671616, 3.82257417204014700e+02, 1.33941155084700525e+00,    640725208
29, 3.82260939163500382e+02, 590683552263, 3.82260939163500325e+02, 1.33939921018455865e+00,   4196208533, 3.82260939163500382e+02, 0.00000000000000000e+00,   2851972040, 3.82260939163500382e+02, 0.00000000000000000e+00,   1403757785, 3.82260939163500382e+02, 0.00000000000000000e+00,    640481195
30, 3.82254576531815076e+02, 588919121134, 3.82254576531815133e+02, 1.33942150449933517e+00,   4196790196, 3.82254576531815076e+02, 0.00000000000000000e+00,   2851598997, 3.82254576531815133e+02, 1.33942150449933517e+00,   1403055391, 3.82254576531815133e+02, 1.33942150449933517e+00,    640525016
31, 3.82260738565843894e+02, 593462580293, 3.82260738565843894e+02, 0.00000000000000000e+00,   4195965280, 3.82260738565843894e+02, 0.00000000000000000e+00,   2851172081, 3.82260738565843894e+02, 0.00000000000000000e+00,   1403519383, 3.82260738565843894e+02, 0.00000000000000000e+00,    640869542
